"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"ILMN","Healthcare","Illumina","5.72;5.73;5.80;5.82;0.00","1.23;1.25;1.23;1.24;0.00","4.99;5.01;5.06;5.13;0.00","1.11;1.12;1.13;1.06;0.00","","2","3","1","1","6","2","7","6","Diagnostics & Research","-3.4%","-1.5%","-5.3%","6.9%","-1.8%","21.4%","28.4%","-40.4%","-113.8%","-155.8%","-315.8%"
"CRL","Healthcare","Charles River","11.88;11.90;12.04;12.07;0.00","2.85;2.85;2.86;2.94;0.00","10.88;10.88;10.89;11.04;0.00","2.54;2.58;2.56;1.93;0.00","","1","5","5","5","4","2","5","6","Diagnostics & Research","-11.0%","-2.5%","-0.2%","-5.0%","-3.7%","1.8%","-15.8%","-69.1%","-95.9%","-124.3%","-163.6%"
"Summary"," "," "," "," "," "," "," ","2","5","4","3","5","2","4","6"," ","-6.7%","0.3%","-0.3%","2.1%","-8.7%","-4.8%","-8.8%","133.8%","12.0%","-85.3%","-152.2%"
"Discount Stores (4 Stocks)"
"COST","Consumer Defensive","Costco Wholesale","22.14;22.25;22.27;22.33;0.00","6.40;6.43;6.43;6.43;0.00","20.07;20.31;20.33;20.40;0.00","4.86;4.86;4.87;4.88;0.00","","6","4","2","2","8","7","2","2","Discount Stores","17.4%","2.9%","0.8%","2.5%","13.3%","-0.7%","-21.1%","-4.8%","42.0%","144.3%","387.1%"
"WMT","Consumer Defensive","Walmart","3.31;3.31;3.32;3.29;0.00","0.76;0.75;0.76;0.75;0.00","2.97;2.98;2.97;2.93;0.00","0.68;0.68;0.68;0.66;0.00","","7","3","4","5","6","9","5","5","Discount Stores","12.7%","1.7%","-1.2%","-2.8%","9.4%","18.8%","13.2%","73.5%","100.7%","119.9%","269.3%"
"DG","Consumer Defensive","Dollar General","6.68;7.07;7.15;7.16;0.00","1.93;1.95;1.95;1.95;0.00","6.11;6.12;6.49;6.50;0.00","1.55;1.57;1.56;1.58;0.00","","1","8","8","9","3","2","8","6","Discount Stores","12.2%","1.2%","-4.3%","2.5%","12.6%","30.7%","77.3%","-37.2%","-102.3%","-99.5%","-175.0%"
"OLLI","Consumer Defensive","Ollie's Bargain Outlet","4.45;4.47;4.48;4.53;0.00","0.88;0.88;0.88;0.88;0.00","3.85;3.85;3.86;3.87;0.00","1.38;1.38;1.39;1.39;0.00","","6","1","8","8","9","6","1","2","Discount Stores","0.9%","1.0%","3.7%","-0.4%","-8.6%","-22.9%","-15.3%","10.1%","23.9%","-59.5%","128.3%"
"Summary"," "," "," "," "," "," "," ","5","4","6","6","7","6","4","4"," ","10.8%","1.7%","-0.3%","0.4%","6.7%","6.5%","13.5%","10.4%","16.0%","26.3%","152.4%"
"Drug Manufacturers - Specialty & Generic (1 Stock)"
"NBIX","Healthcare","Neurocrine Biosciences","11.19;10.68;10.75;9.69;0.00","2.19;2.19;2.22;2.08;0.00","9.14;9.17;9.23;8.05;0.00","1.99;1.99;1.93;1.80;0.00","","2","4","3","1","7","3","1","3","Drug Manufacturers - Specialty & Generic","-8.1%","0.1%","-1.1%","-6.5%","-16.0%","-15.7%","-5.1%","-38.4%","-46.0%","-50.5%","-35.5%"
"Summary"," "," "," "," "," "," "," ","2","4","3","1","7","3","1","3"," ","-8.1%","0.1%","-1.1%","-6.5%","-16.0%","-15.7%","-5.1%","-38.4%","-46.0%","-50.5%","-35.5%"
"Drug Manufacturers - General (8 Stocks)"
"LLY","Healthcare","Eli Lilly and Co","39.55;40.11;41.31;41.78;0.00","7.94;7.98;8.05;8.07;0.00","32.24;32.72;33.33;34.50;0.00","7.54;7.46;7.61;7.22;0.00","","7","9","7","1","9","8","1","9","Drug Manufacturers - General","-6.1%","2.1%","-3.8%","-3.5%","-0.2%","32.0%","-9.5%","-6.5%","144.2%","315.1%","1191.2%"
"AMGN","Healthcare","Amgen","22.59;22.64;22.81;23.26;0.00","5.69;5.74;5.81;5.83;0.00","21.86;21.95;22.10;22.37;0.00","5.06;5.04;5.18;4.82;0.00","","5","8","6","3","7","6","2","9","Drug Manufacturers - General","15.2%","1.9%","-2.8%","-0.4%","14.4%","27.5%","1.1%","6.7%","-0.5%","1.9%","-57.2%"
"JNJ","Healthcare","Johnson & Johnson","12.37;12.39;12.54;12.54;0.00","2.90;2.86;2.88;2.88;0.00","11.52;11.52;11.53;11.53;0.00","2.76;2.74;2.69;2.69;0.00","","5","1","3","3","8","7","5","7","Drug Manufacturers - General","18.3%","1.7%","-1.2%","3.5%","21.3%","31.7%","30.2%","24.7%","-4.2%","-10.6%","-100.7%"
"NVS","Healthcare","Novartis","10.38;10.01;10.09;10.04;0.00","0.00;0.00;2.32;2.22;0.00","9.38;9.14;9.18;9.06;0.00","0.00;0.00;2.08;1.99;0.00","","3","1","3","3","7","5","2","6","Drug Manufacturers - General","17.7%","0.8%","-3.0%","5.1%","22.8%","18.8%","28.3%","32.6%","51.2%","48.9%","-14.0%"
"GILD","Healthcare","Gilead Sciences","9.31;9.31;9.39;9.65;0.00","2.23;2.19;2.13;2.11;0.00","8.72;8.75;8.74;8.71;0.00","2.05;2.03;1.98;1.90;0.00","","5","2","4","2","8","4","2","7","Drug Manufacturers - General","18.8%","0.5%","-1.3%","-2.8%","21.1%","22.2%","8.7%","76.7%","24.0%","81.9%","-163.2%"
"ABBV","Healthcare","AbbVie","15.82;15.84;15.91;16.07;0.00","3.64;3.64;3.63;3.77;0.00","14.24;14.25;14.22;14.52;0.00","3.05;3.11;3.10;3.01;0.00","","7","1","8","8","8","6","3","10","Drug Manufacturers - General","3.1%","0.4%","1.2%","5.8%","4.2%","5.3%","-6.0%","0.8%","-8.1%","73.2%","221.7%"
"AZN","Healthcare","AstraZeneca","0.00;0.00;0.00;5.93;0.00","0.00;0.00;0.00;0.00;0.00","0.00;0.00;0.00;5.23;0.00","0.00;0.00;0.00;0.00;0.00","","6","6","4","4","7","7","1","6","Drug Manufacturers - General","13.4%","-0.3%","-4.8%","4.4%","11.0%","14.7%","13.6%","21.5%","-14.3%","37.0%","61.6%"
"BIIB","Healthcare","Biogen","15.90;15.90;15.83;16.24;0.00","3.83;3.91;3.94;4.32;0.00","15.18;15.22;15.04;15.69;0.00","3.48;3.54;3.47;3.04;0.00","","1","3","6","8","5","3","9","4","Drug Manufacturers - General","6.6%","-0.4%","-1.6%","-5.3%","3.6%","26.8%","6.6%","-50.3%","-104.8%","-119.7%","-321.9%"
"Summary"," "," "," "," "," "," "," ","5","4","5","4","7","6","3","7"," ","10.9%","0.8%","-2.2%","0.8%","12.3%","22.4%","9.1%","13.3%","10.9%","53.4%","102.2%"
"Electronic Components (2 Stocks)"
"JBL","Technology","Jabil","12.83;12.83;12.92;13.47;0.00","2.79;2.79;2.78;2.90;0.00","11.10;11.10;11.12;11.59;0.00","2.35;2.35;2.37;2.49;0.00","","3","8","5","3","3","4","3","10","Electronic Components","7.3%","-3.1%","-7.0%","-3.8%","11.2%","10.2%","55.8%","22.7%","114.1%","377.8%","798.1%"
"FN","Technology","Fabrinet","15.26;15.31;15.54;15.85;0.00","3.66;3.66;3.66;3.76;0.00","13.28;13.28;13.55;13.58;0.00","3.45;3.45;3.45;3.55;0.00","","5","8","5","1","8","6","1","2","Electronic Components","9.0%","-8.8%","-8.3%","-0.1%","3.9%","27.7%","147.6%","82.2%","230.6%","374.8%","1369.4%"
"Summary"," "," "," "," "," "," "," ","4","8","5","2","6","5","2","6"," ","8.2%","-5.9%","-7.6%","-2.0%","7.5%","19.0%","101.7%","52.5%","172.3%","376.3%","1083.8%"
"Electronics & Computer Distribution (1 Stock)"
"SNX","Technology","TD Synnex","16.32;16.32;16.12;16.11;0.00","3.33;3.33;3.41;3.42;0.00","14.51;14.51;14.64;14.63;0.00","3.17;3.17;3.32;3.29;0.00","","1","2","5","3","1","2","3","8","Electronics & Computer Distribution","6.0%","0.3%","1.7%","-6.0%","2.9%","0.6%","3.7%","16.8%","-3.7%","-8.0%","-19.4%"
"Summary"," "," "," "," "," "," "," ","1","2","5","3","1","2","3","8"," ","6.0%","0.3%","1.7%","-6.0%","2.9%","0.6%","3.7%","16.8%","-3.7%","-8.0%","-19.4%"
"Electrical Equipment & Parts (2 Stocks)"
"VRT","Industrials","Vertiv Holdings","6.53;6.58;6.60;7.91;0.00","1.27;1.28;1.30;1.43;0.00","5.26;5.28;5.33;6.14;0.00","0.93;0.95;0.96;1.01;0.00","","5","6","1","1","8","4","1","7","Electrical Equipment & Parts","50.8%","-1.9%","-3.1%","26.4%","29.5%","90.5%","176.3%","201.4%","1324.9%","1023.1%","- "
"AEIS","Industrials","Advanced Energy Indus","9.03;9.03;9.08;10.51;0.00","1.79;1.79;1.78;2.00;0.00","7.78;7.78;7.83;8.60;0.00","1.71;1.71;1.66;1.97;0.00","","4","8","3","3","7","4","2","6","Electrical Equipment & Parts","40.4%","-5.3%","-11.4%","9.2%","34.2%","84.7%","156.1%","150.2%","140.1%","101.8%","552.0%"
"Summary"," "," "," "," "," "," "," ","5","7","2","2","8","4","2","7"," ","45.6%","-3.6%","-7.2%","17.8%","31.8%","87.6%","166.2%","175.8%","732.5%","562.5%","552.0%"
"Electronic Gaming & Multimedia (2 Stocks)"
"NTES","Communication Services","NetEase","72.02;71.95;71.90;69.92;0.00","15.03;15.03;15.25;15.04;0.00","65.22;65.29;65.32;63.23;0.00","15.50;15.50;15.93;15.47;0.00","","1","2","4","2","6","2","1","4","Electronic Gaming & Multimedia","-12.9%","4.7%","4.5%","-1.4%","-14.1%","-16.5%","-1.7%","-15.6%","-27.2%","-68.3%","96.9%"
"TTWO","Communication Services","Take-Two Interactive","3.49;3.74;3.63;3.73;0.00","-0.11;-0.12;-0.12;-0.45;0.00","-1.94;-1.91;-1.86;-1.86;0.00","-0.67;-0.69;-0.70;-0.49;0.00","","5","2","9","9","7","5","6","8","Electronic Gaming & Multimedia","-15.8%","0.8%","2.0%","10.9%","-13.1%","-16.3%","-17.1%","11.7%","9.6%","-64.2%","189.6%"
"Summary"," "," "," "," "," "," "," ","3","2","7","6","7","4","4","6"," ","-14.4%","2.8%","3.3%","4.8%","-13.6%","-16.4%","-9.4%","-2.0%","-8.8%","-66.2%","143.2%"
"Engineering & Construction (5 Stocks)"
"J","Industrials","Jacobs Solutions","7.83;7.99;7.97;8.03;0.00","1.84;1.86;1.86;1.86;0.00","7.01;7.09;7.08;7.15;0.00","1.71;1.69;1.68;1.68;0.00","","5","9","4","5","7","4","5","6","Engineering & Construction","5.1%","1.8%","1.2%","-5.1%","-0.6%","-10.0%","-5.9%","-20.5%","-33.7%","-37.9%","48.3%"
"ACM","Industrials","AECOM","6.15;6.10;6.13;6.62;0.00","1.44;1.42;1.44;1.57;0.00","5.27;5.26;5.26;5.96;0.00","1.27;1.25;1.26;1.55;0.00","","4","10","5","3","5","5","6","8","Engineering & Construction","0.5%","1.6%","-2.0%","-4.1%","-6.3%","-29.9%","-20.6%","-28.0%","-64.8%","-20.1%","-64.7%"
"PWR","Industrials","Quanta Services","14.56;14.56;14.41;15.13;0.00","3.00;2.97;2.96;3.12;0.00","12.47;12.45;12.43;13.04;0.00","2.27;2.27;2.26;2.15;0.00","","6","6","4","5","9","7","1","5","Engineering & Construction","29.6%","-0.3%","-2.0%","9.1%","18.9%","40.5%","105.7%","88.7%","158.8%","467.7%","2132.9%"
"MTZ","Industrials","MasTec","10.02;9.97;10.05;10.05;0.00","2.04;2.04;2.03;2.03;0.00","8.15;8.15;8.15;8.15;0.00","0.78;0.78;0.79;0.79;0.00","","6","6","5","5","8","7","1","6","Engineering & Construction","32.9%","-1.9%","-2.1%","13.0%","31.7%","55.9%","121.5%","187.0%","108.0%","119.8%","1145.9%"
"FIX","Industrials","Comfort Systems USA","34.97;34.97;35.46;36.26;0.00","7.98;7.98;7.98;8.03;0.00","30.79;30.79;30.79;30.95;0.00","5.85;5.85;5.85;5.87;0.00","","6","8","1","1","10","6","1","3","Engineering & Construction","38.7%","-3.7%","-8.4%","6.8%","29.4%","76.7%","272.6%","275.7%","685.4%","1686.8%","4079.0%"
"Summary"," "," "," "," "," "," "," ","5","8","4","4","8","6","3","6"," ","21.4%","-0.5%","-2.7%","3.9%","14.6%","26.6%","94.6%","100.6%","170.7%","443.3%","1468.3%"
"Entertainment (2 Stocks)"
"LYV","Communication Services","Live Nation Entertainment","3.03;3.04;2.83;2.40;0.00","1.03;1.03;1.08;1.03;0.00","1.94;1.99;1.89;1.49;0.00","-0.11;-0.11;-0.09;-0.14;0.00","","4","8","5","6","5","5","2","8","Entertainment","11.1%","-1.0%","-1.7%","13.6%","13.7%","-9.0%","0.3%","22.1%","41.8%","-14.1%","300.6%"
"TKO","Communication Services","TKO Group Holdings","7.27;7.25;6.04;6.12;0.00","1.89;2.25;2.12;2.50;0.00","6.33;6.31;5.52;5.28;0.00","1.68;1.58;1.46;2.21;0.00","","6","8","3","4","8","4","3","6","Entertainment","-1.5%","-3.0%","-7.4%","-1.6%","2.2%","0.7%","20.8%","123.5%","- ","- ","- "
"Summary"," "," "," "," "," "," "," ","5","8","4","5","7","5","3","7"," ","4.8%","-2.0%","-4.6%","6.0%","7.9%","-4.2%","10.5%","72.8%","41.8%","-14.1%","300.6%"
"Farm & Heavy Construction Machinery (2 Stocks)"
"DE","Industrials","Deere","22.70;22.69;22.09;23.06;0.00","4.65;4.67;4.68;5.06;0.00","16.63;16.65;16.66;17.96;0.00","5.60;5.60;5.59;5.83;0.00","","6","2","5","3","8","7","7","8","Farm & Heavy Construction Machinery","28.2%","1.2%","-4.3%","3.9%","26.2%","20.9%","5.0%","30.2%","-28.7%","-8.0%","422.7%"
"PCAR","Industrials","PACCAR","7.07;7.13;6.73;6.74;0.00","1.27;1.29;1.32;1.32;0.00","5.58;5.51;5.65;5.65;0.00","1.21;1.20;1.17;1.17;0.00","","3","3","5","4","8","4","5","5","Farm & Heavy Construction Machinery","11.8%","-1.0%","-2.5%","-2.4%","12.5%","19.3%","-3.3%","-24.0%","3.2%","43.0%","89.0%"
"Summary"," "," "," "," "," "," "," ","5","3","5","4","8","6","6","7"," ","20.0%","0.1%","-3.4%","0.8%","19.3%","20.1%","0.9%","3.1%","-12.8%","17.5%","255.9%"
"Financial Data & Stock Exchanges (9 Stocks)"
"ICE","Financial Services","Intercontinental Exchange","8.34;8.38;8.39;8.51;0.00","1.89;1.90;1.88;1.85;0.00","7.48;7.52;7.50;7.62;0.00","1.84;1.85;1.84;1.91;0.00","","2","4","8","7","5","6","2","7","Financial Data & Stock Exchanges","4.2%","2.7%","3.3%","1.1%","7.2%","-8.7%","-19.8%","-13.3%","-5.9%","-33.9%","-3.0%"
"CBOE","Financial Services","Cboe Global Markets","11.52;11.56;11.91;12.46;0.00","2.67;2.67;2.72;2.91;0.00","10.78;10.91;11.11;11.76;0.00","2.67;2.68;2.74;2.91;0.00","","1","1","4","3","5","4","5","2","Financial Data & Stock Exchanges","21.9%","2.6%","2.5%","13.3%","21.1%","25.6%","24.2%","29.0%","76.1%","120.3%","140.0%"
"MSCI","Financial Services","MSCI","21.77;21.77;21.90;22.04;0.00","4.75;4.74;4.75;4.82;0.00","19.36;19.36;19.43;19.45;0.00","4.52;4.49;4.48;4.43;0.00","","3","2","5","5","9","9","1","9","Financial Data & Stock Exchanges","1.2%","1.9%","1.6%","5.2%","7.8%","-1.3%","-17.0%","-29.1%","-64.5%","-43.2%","515.9%"
"FDS","Financial Services","FactSet Research Systems","18.76;18.98;19.01;18.96;0.00","4.42;4.41;4.42;4.42;0.00","17.32;17.48;17.49;17.46;0.00","4.33;4.39;4.39;4.39;0.00","","1","7","4","1","2","2","6","5","Financial Data & Stock Exchanges","-20.2%","1.8%","6.2%","12.3%","-20.3%","-43.1%","-67.0%","-85.5%","-117.4%","-112.4%","-236.2%"
"MCO","Financial Services","Moodys","18.22;18.27;18.45;18.69;0.00","4.10;4.11;4.13;4.23;0.00","16.32;16.35;16.48;16.65;0.00","4.21;4.21;4.24;4.41;0.00","","3","2","4","1","8","9","2","8","Financial Data & Stock Exchanges","-5.9%","1.7%","1.1%","7.3%","-3.1%","-9.6%","-17.7%","-12.1%","-13.8%","-16.8%","147.0%"
"SPGI","Financial Services","S&P Global","22.16;22.19;22.30;22.13;0.00","4.97;4.97;4.99;4.96;0.00","19.81;19.83;19.95;19.63;0.00","4.89;4.90;4.91;4.83;0.00","","2","3","4","5","7","6","1","3","Financial Data & Stock Exchanges","-11.7%","1.6%","4.4%","6.0%","-7.4%","-20.1%","-30.2%","-27.5%","-41.3%","-47.0%","124.4%"
"MORN","Financial Services","Morningstar","12.42;12.42;12.45;12.45;0.00","2.61;2.61;2.61;2.61;0.00","10.79;10.79;10.83;10.83;0.00","2.51;2.51;2.51;2.51;0.00","","1","5","5","2","1","3","2","7","Financial Data & Stock Exchanges","-10.8%","1.5%","5.8%","17.7%","-11.1%","-30.4%","-54.3%","-73.2%","-81.0%","-105.2%","-141.5%"
"CME","Financial Services","CME Group","12.40;12.42;12.44;12.65;0.00","2.94;2.96;2.97;3.01;0.00","11.64;11.65;11.72;11.92;0.00","2.90;2.91;2.95;3.04;0.00","","2","7","2","6","9","8","6","5","Financial Data & Stock Exchanges","17.7%","1.4%","1.3%","7.7%","19.2%","17.6%","8.4%","18.6%","18.6%","-8.8%","86.1%"
"COIN","Financial Services","Coinbase Global","7.78;8.03;7.67;5.97;0.00","1.77;1.67;1.53;0.85;0.00","6.94;6.96;6.45;3.72;0.00","1.61;1.47;1.31;0.38;0.00","","7","5","6","6","6","6","7","5","Financial Data & Stock Exchanges","-11.2%","-2.8%","14.2%","22.2%","-25.3%","-38.6%","-26.7%","-52.6%","141.0%","- ","- "
"Summary"," "," "," "," "," "," "," ","2","4","5","4","6","6","4","6"," ","-1.7%","1.4%","4.5%","10.3%","-1.3%","-12.1%","-22.2%","-27.3%","-9.8%","-30.9%","79.1%"
"Gold (4 Stocks)"
"FNV","Basic Materials","Franco-Nevada","6.98;7.16;7.75;8.32;0.00","1.60;1.70;1.88;2.06;0.00","5.01;5.14;5.27;5.30;0.00","1.36;1.49;1.56;1.57;0.00","","1","7","1","2","2","3","1","2","Gold","26.9%","3.1%","-5.4%","14.7%","29.5%","30.0%","64.8%","106.9%","24.2%","61.2%","107.9%"
"RGLD","Basic Materials","Royal Gold","10.98;12.11;12.59;14.56;0.00","2.38;2.44;2.94;3.08;0.00","10.83;11.38;12.14;12.44;0.00","2.35;2.37;2.88;3.02;0.00","","1","8","1","1","2","4","1","6","Gold","27.7%","2.6%","-4.6%","8.1%","40.7%","47.5%","69.3%","123.1%","73.6%","95.6%","251.7%"
"AEM","Basic Materials","Agnico Eagle Mines","10.25;10.98;12.01;13.24;0.00","2.58;2.58;3.00;3.40;0.00","10.21;10.71;12.18;13.92;0.00","2.58;2.63;3.04;3.36;0.00","","1","7","1","2","2","1","1","5","Gold","32.1%","1.1%","-10.0%","15.4%","32.7%","41.6%","109.3%","289.1%","323.7%","248.5%","373.1%"
"WPM","Basic Materials","Wheaton Precious Metals","3.31;3.59;4.08;4.38;0.00","0.84;0.91;1.23;1.23;0.00","2.44;2.52;2.65;2.69;0.00","0.68;0.79;0.85;0.86;0.00","","1","7","1","2","2","2","1","3","Gold","26.5%","0.7%","-8.2%","10.8%","37.5%","36.5%","91.9%","205.9%","194.1%","242.8%","619.2%"
"Summary"," "," "," "," "," "," "," ","1","7","1","2","2","3","1","4"," ","28.3%","1.8%","-7.1%","12.2%","35.1%","38.9%","83.8%","181.2%","153.9%","162.0%","338.0%"
"Health Information Services (1 Stock)"
"VEEV","Healthcare","Veeva Systems","9.79;9.79;9.81;9.82;0.00","2.13;2.13;2.13;2.13;0.00","8.58;8.58;8.59;8.60;0.00","2.06;2.06;2.06;2.06;0.00","","1","3","2","1","6","2","1","1","Health Information Services","-10.9%","1.0%","9.4%","9.2%","-17.6%","-33.0%","-36.0%","-48.2%","-62.4%","-111.3%","333.2%"
"Summary"," "," "," "," "," "," "," ","1","3","2","1","6","2","1","1"," ","-10.9%","1.0%","9.4%","9.2%","-17.6%","-33.0%","-36.0%","-48.2%","-62.4%","-111.3%","333.2%"
"Healthcare Plans (2 Stocks)"
"UNH","Healthcare","UnitedHealth Group","20.83;20.84;20.79;20.03;0.00","4.39;4.42;4.42;4.46;0.00","17.72;17.77;17.76;17.85;0.00","6.63;6.61;6.67;6.88;0.00","","5","4","3","3","7","5","3","4","Healthcare Plans","-11.7%","0.5%","-0.3%","6.3%","-11.2%","-12.6%","-58.6%","-72.2%","-110.3%","-98.4%","-121.8%"
"MOH","Healthcare","Molina Healthcare","16.20;13.69;12.58;10.28;0.00","3.37;3.37;3.55;0.82;0.00","14.05;13.76;13.71;7.48;0.00","4.45;4.36;4.36;2.93;0.00","","8","6","5","4","2","8","3","6","Healthcare Plans","-15.2%","-0.9%","-4.2%","12.5%","-3.3%","-21.9%","-74.2%","-98.1%","-121.8%","-122.2%","-171.9%"
"Summary"," "," "," "," "," "," "," ","7","5","4","4","5","7","3","5"," ","-13.4%","-0.2%","-2.2%","9.4%","-7.2%","-17.2%","-66.4%","-85.2%","-116.0%","-110.3%","-146.9%"
"Household & Personal Products (2 Stocks)"
"KMB","Consumer Defensive","Kimberly-Clark","7.94;7.96;7.95;7.64;0.00","1.91;1.91;1.91;1.78;0.00","7.51;7.51;7.50;7.10;0.00","1.87;1.87;1.87;1.67;0.00","","2","10","4","1","7","5","5","8","Household & Personal Products","6.5%","2.2%","-3.0%","4.3%","4.4%","-22.1%","-41.4%","-43.8%","-79.2%","-92.2%","-286.4%"
"PG","Consumer Defensive","Procter & Gamble","7.39;7.35;7.32;7.33;0.00","1.55;1.54;1.53;1.53;0.00","7.00;7.00;6.97;6.97;0.00","1.59;1.59;1.57;1.57;0.00","","3","9","1","1","8","6","2","6","Household & Personal Products","9.5%","1.1%","-6.1%","-0.7%","9.5%","-7.2%","-28.5%","-33.9%","-55.0%","-49.6%","-156.1%"
"Summary"," "," "," "," "," "," "," ","3","10","3","1","8","6","4","7"," ","8.0%","1.7%","-4.5%","1.8%","7.0%","-14.7%","-35.0%","-38.9%","-67.1%","-70.9%","-221.3%"
"Information Technology Services (7 Stocks)"
"BR","Technology","Broadridge Financial","10.27;10.27;10.27;10.34;0.00","3.83;3.83;3.83;3.81;0.00","9.45;9.45;9.45;9.49;0.00","2.71;2.71;2.71;2.64;0.00","","3","3","2","1","8","4","1","7","Information Technology Services","-10.2%","4.5%","7.9%","11.0%","-13.2%","-25.5%","-34.7%","-35.2%","-28.6%","-37.8%","8.5%"
"JKHY","Technology","Jack Henry & Associates","6.82;6.82;6.87;6.96;0.00","1.56;1.56;1.57;1.52;0.00","6.28;6.28;6.32;6.46;0.00","1.47;1.46;1.47;1.42;0.00","","4","4","1","1","8","5","4","1","Information Technology Services","-3.9%","4.2%","8.2%","2.3%","-3.5%","2.1%","-23.9%","-33.7%","-64.3%","-67.5%","-162.1%"
"LDOS","Technology","Leidos Holdings","12.80;12.87;12.86;12.78;0.00","3.05;3.05;3.04;3.03;0.00","12.32;12.34;12.35;12.32;0.00","2.98;2.99;2.96;2.95;0.00","","1","3","3","2","5","4","3","6","Information Technology Services","0.2%","2.6%","3.6%","-5.0%","-3.0%","-4.8%","16.2%","4.6%","17.1%","21.3%","215.9%"
"IBM","Technology","IBM","12.95;12.95;12.99;13.42;0.00","3.00;2.99;3.01;3.03;0.00","12.18;12.19;12.24;12.41;0.00","1.93;1.94;1.93;1.81;0.00","","4","1","3","2","8","5","2","7","Information Technology Services","-10.6%","2.2%","9.8%","-10.1%","-13.9%","0.7%","-12.2%","4.5%","47.2%","81.6%","-95.1%"
"ACN","Technology","Accenture","14.94;14.88;14.89;14.92;0.00","3.70;3.69;3.70;3.70;0.00","13.83;13.84;13.82;13.84;0.00","2.99;2.86;2.85;2.85;0.00","","1","2","1","1","6","3","3","4","Information Technology Services","-17.9%","1.8%","5.0%","-7.9%","-17.3%","-19.2%","-54.5%","-76.6%","-89.0%","-94.6%","-150.9%"
"CDW","Technology","CDW","11.40;11.39;11.32;11.31;0.00","2.67;2.67;2.66;2.64;0.00","10.59;10.57;10.51;10.51;0.00","2.20;2.20;2.20;2.20;0.00","","1","2","4","1","4","4","4","8","Information Technology Services","-7.4%","0.6%","2.7%","-10.2%","-13.6%","-31.2%","-43.8%","-83.9%","-109.9%","-102.9%","-57.3%"
"IT","Technology","Gartner","14.96;14.91;14.88;14.48;0.00","3.72;3.72;3.72;3.70;0.00","13.49;13.46;13.46;13.17;0.00","3.10;3.08;3.07;2.91;0.00","","2","6","2","1","7","3","3","9","Information Technology Services","-31.5%","0.2%","9.5%","10.9%","-24.8%","-35.9%","-83.8%","-99.3%","-123.7%","-95.9%","-200.4%"
"Summary"," "," "," "," "," "," "," ","2","3","2","1","7","4","3","6"," ","-11.6%","2.3%","6.7%","-1.3%","-12.7%","-16.2%","-33.8%","-45.7%","-50.2%","-42.2%","-63.1%"
"Insurance Brokers (4 Stocks)"
"WTW","Financial Services","Willis Towers Watson","22.21;22.08;22.26;22.43;0.00","3.16;3.12;3.17;3.19;0.00","19.32;19.19;19.32;19.66;0.00","3.67;3.63;3.67;3.71;0.00","","1","4","2","3","6","4","5","5","Insurance Brokers","-6.3%","2.2%","1.3%","-5.4%","-3.7%","-12.1%","-26.1%","-22.5%","-41.5%","-46.1%","-100.4%"
"AON","Financial Services","Aon","21.49;21.47;21.50;21.54;0.00","3.83;3.82;3.87;3.88;0.00","19.07;19.05;19.09;19.10;0.00","6.39;6.38;6.42;6.43;0.00","","2","2","1","2","8","4","4","7","Insurance Brokers","-1.7%","1.9%","3.6%","2.4%","0.5%","-12.3%","-33.3%","-26.1%","-58.9%","-35.8%","-20.7%"
"AJG","Financial Services","Arthur J. Gallagher","15.27;15.16;15.00;14.89;0.00","3.03;3.02;2.98;2.91;0.00","13.44;13.39;13.29;13.24;0.00","4.54;4.55;4.53;4.45;0.00","","3","4","3","6","8","5","1","4","Insurance Brokers","-10.0%","1.0%","2.3%","-2.5%","-2.9%","-27.9%","-50.9%","-41.9%","-50.3%","5.7%","258.5%"
"MRSH","Financial Services","Marsh","","","","","","1","7","2","2","7","3","3","6","Insurance Brokers","0.7%","0.3%","0.1%","1.7%","2.8%","-13.9%","-40.0%","-42.5%","-57.2%","-19.4%","-24.5%"
"Summary"," "," "," "," "," "," "," ","2","4","2","3","7","4","3","6"," ","-4.3%","1.3%","1.8%","-1.0%","-0.8%","-16.5%","-37.6%","-33.2%","-52.0%","-23.9%","28.2%"
"Insurance - Diversified (2 Stocks)"
"BRK.B","Financial Services","Berkshire Hathaway","21.94;21.94;21.94;21.82;0.00","5.34;5.34;5.12;5.08;0.00","20.43;20.43;20.66;21.06;0.00","5.45;5.45;5.45;5.25;0.00","","6","8","2","4","9","8","7","2","Insurance - Diversified","0.8%","1.0%","0.8%","1.0%","0.5%","-4.7%","-18.6%","-11.8%","-15.8%","9.1%","-36.3%"
