"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"TJX","Consumer Cyclical","TJX Companies","5.70;5.68;5.73;5.74;0.00","1.19;1.20;1.21;1.21;0.00","5.14;5.14;5.16;5.16;0.00","1.01;1.02;1.02;1.02;0.00","","6","1","2","2","8","7","1","8","Apparel Retail","5.6%","0.3%","0.6%","5.3%","5.9%","10.5%","14.8%","34.2%","38.8%","85.3%","88.2%"
"ROST","Consumer Cyclical","Ross Stores","7.74;7.73;7.87;7.93;0.00","1.76;1.76;1.76;1.76;0.00","7.11;7.10;7.15;7.19;0.00","1.60;1.60;1.61;1.62;0.00","","6","1","3","2","8","7","2","6","Apparel Retail","19.1%","-0.1%","5.0%","13.8%","20.9%","36.4%","36.4%","10.7%","21.4%","9.9%","8.9%"
"BURL","Consumer Cyclical","Burlington Stores","13.27;13.21;13.28;13.12;0.00","1.86;1.86;1.88;1.87;0.00","11.09;11.11;11.14;11.17;0.00","1.79;1.80;1.79;1.79;0.00","","8","2","6","3","7","8","4","10","Apparel Retail","7.4%","-3.6%","1.6%","0.9%","14.1%","0.4%","-0.2%","13.2%","-33.5%","-78.6%","167.0%"
"Summary"," "," "," "," "," "," "," ","7","1","4","2","8","7","2","8"," ","10.7%","-1.1%","2.4%","6.6%","13.6%","15.7%","17.0%","19.4%","8.9%","5.6%","88.0%"
"Asset Management (2 Stocks)"
"AMP","Financial Services","Ameriprise Finl","44.36;44.38;45.68;46.60;0.00","10.31;10.28;10.52;10.55;0.00","41.54;41.56;42.29;43.15;0.00","10.14;10.15;10.31;10.34;0.00","","1","5","3","3","2","2","1","8","Asset Management","-3.4%","-0.4%","0.9%","-11.4%","-0.7%","-9.0%","-25.2%","-20.5%","-32.2%","37.4%","234.1%"
"NTRS","Financial Services","Northern Trust","10.17;10.17;10.71;11.00;0.00","2.37;2.37;2.49;2.52;0.00","9.33;9.34;9.82;10.04;0.00","2.07;2.08;2.23;2.25;0.00","","1","3","6","4","3","2","5","8","Asset Management","3.6%","-1.6%","-0.6%","-5.6%","6.2%","5.6%","19.1%","46.9%","-11.9%","-25.6%","-121.1%"
"Summary"," "," "," "," "," "," "," ","1","4","5","4","3","2","3","8"," ","0.1%","-1.0%","0.2%","-8.5%","2.8%","-1.7%","-3.1%","13.2%","-22.0%","5.9%","56.5%"
"Auto Manufacturers (2 Stocks)"
"TSLA","Consumer Cyclical","Tesla","3.28;3.13;2.90;2.80;0.00","0.51;0.50;0.46;0.46;0.00","2.25;2.21;2.10;2.06;0.00","0.45;0.44;0.41;0.41;0.00","","7","6","4","4","9","4","3","1","Auto Manufacturers","-10.2%","-0.8%","0.6%","-0.7%","-11.2%","8.5%","31.8%","89.4%","31.5%","11.1%","2562.2%"
